         BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1686.11447      1686.10462      -1267.8449        943.3254       -825.4429       -311.7131      -1048.9874        943.3254
     1686.13530      1686.12546      -1962.2219        928.2318      -1637.7949       -284.6797      -1967.0295        928.2318
     1686.15614      1686.14629      -3902.3450        926.7342       1635.4876       -284.6797       -828.8691        926.7342
     1686.17697      1686.16712      -3124.1990        938.0563       5337.8050       -175.1508       1818.9837        938.0563
     1686.19780      1686.18796        447.3577        943.3020       2645.0452       -146.1131        337.6934        943.3020
     1686.21864      1686.20879      -2757.0190        907.4879       1502.2708       -146.1131       -439.8069        907.4879
     1686.23947      1686.22962      -5595.6982        903.6072         18.8250        -70.5460      -1102.2122        903.6072
     1686.26030      1686.25046        -65.5150        932.8310       -145.8118        -70.5460       -672.8285        932.8310
     1686.28114      1686.27129       3498.1292        956.3932        282.3650         48.0078        859.7374        956.3932
     1686.30197      1686.29212       1180.2047        946.0452       -117.0356         93.0936       -311.7131        946.0452
     1686.32280      1686.31296      -3263.1782        928.0534      -1243.2955        151.0478      -1663.5252        928.0534
     1686.34363      1686.33379      -2622.7980        963.4823        -83.2998        318.3414      -1105.5031        963.4823
     1686.36447      1686.35462       -952.8640        927.7315       -391.4035        318.3414       -832.8216        927.7315
     1686.38530      1686.37546        501.4259        959.9888       -546.6114        318.3414        330.2346        959.9888
     1686.40613      1686.39629         40.5961        948.5735       3446.3022        330.2346       1051.0702        948.5735
     1686.42697      1686.41712       1037.0296        938.7047        187.9480        330.2346       -340.7705        938.7047
     1686.44780      1686.43796      -2423.1883        979.7734       4437.8867        337.6934       1057.9000        979.7734
     1686.46863      1686.45879         93.2502        925.8094       6525.4129        413.0344       2500.8374        925.8094
     1686.48947      1686.47962      -1158.6634        951.6014       1455.2529        432.6118         93.0936        951.6014
     1686.51030      1686.50046      -2929.3921        991.5257       2336.4978        432.6118        485.6691        991.5257
     1686.53113      1686.52129      -2123.9915        972.0710       1752.9725        436.5848        -70.5460        972.0710
     1686.55197      1686.54212        -48.3878        982.5033       2693.1962        436.5848       1281.0521        982.5033
     1686.57280      1686.56296      -2973.6923        994.1527       1305.5176        485.6691       -284.6797        994.1527
     1686.59363      1686.58379      -1615.4542       1004.9277       3281.1556        436.5848       1365.3340       1004.9277
     1686.61446      1686.60462      -2912.3459       1035.0358       5034.9684        485.6691        879.9007       1035.0358
     1686.63530      1686.62546       -692.2088       1055.6056      13264.4470        485.6691       2168.7126       1055.6056
     1686.65613      1686.64629      -2847.5559       1049.7634       5966.1107        485.6691       1494.5711       1049.7634
     1686.67696      1686.66712      -2385.4889       1085.0031       2158.7620        485.6691        436.5848       1085.0031
     1686.69780      1686.68796       -233.2543       1057.5345       3844.7758        436.5848        751.7024       1057.5345
     1686.71863      1686.70879        796.3401       1083.1230       1923.2491        485.6691       1154.1728       1083.1230
     1686.73946      1686.72962      -1767.6364       1080.9548      13650.8560        563.0512       4145.9025       1080.9548
     1686.76030      1686.75046      -2923.7319       1034.3249       9091.1466        563.0512       2682.6249       1034.3249
     1686.78113      1686.77129      -1328.9536       1066.7064       5979.6158        563.0512       1614.7854       1066.7064
     1686.80196      1686.79212      -1964.8542       1053.2008       5118.0361        563.0512        850.2168       1053.2008
     1686.82280      1686.81296      -5030.7322       1063.4752       6350.2111        608.8961       1613.9970       1063.4752
     1686.84363      1686.83379      -1060.8161       1030.5522       -313.6176        608.8961      -1500.5864       1030.5522
     1686.86446      1686.85462      -4881.4009       1032.9222        202.2261        622.2269      -1081.5623       1032.9222
     1686.88529      1686.87546      -1614.4778       1043.5055       1787.1191        622.2269        432.6118       1043.5055
     1686.90613      1686.89629      -1321.6285       1023.1246       -350.7825        622.2269        622.2269       1023.1246
     1686.92696      1686.91712      -1846.1622       1024.3558       5020.8713        608.8961        413.0344       1024.3558
     1686.94779      1686.93796      -5373.1906       1034.8369       3258.0732        622.2269        563.0512       1034.8369
     1686.96863      1686.95879       2904.8176       1004.4737       1708.7220        608.8961        608.8961       1004.4737
     1686.98946      1686.97962       -782.1563       1003.9024       2053.0756        563.0512        214.8114       1003.9024
     1687.01029      1687.00046       -563.1376       1004.6938       3588.4992        563.0512        989.4243       1004.6938
     1687.03113      1687.02129      -2418.3269       1013.8483       2885.3912        563.0512        850.9832       1013.8483
     1687.05196      1687.04212      -1337.4710        991.2887       7611.7720        563.0512       2164.7578        991.2887
     1687.07279      1687.06296       -718.0888        978.7592        368.6111        461.0515       -464.1368        978.7592
     1687.09362      1687.08379      -1007.9786       1003.3060       1538.5973        461.0515        890.8039       1003.3060
     1687.11446      1687.10462       -907.0781       1011.8126       1171.6491        461.0515        112.1190       1011.8126
     1687.13529      1687.12546        358.4782       1003.2044      -3135.8262        450.6963        -18.2610       1003.2044
     1687.15612      1687.14629         68.2292       1006.9573       1176.4001        450.6963        183.8115       1006.9573
     1687.17696      1687.16712      -3343.5869        998.5550       2308.2984        450.6963       -149.1998        998.5550
     1687.19779      1687.18796      -1962.1918       1009.2748       2764.5764        450.6963       1170.7437       1009.2748
     1687.21862      1687.20879       -774.9863       1001.6696       3658.1639        450.6963       1109.8797       1001.6696
     1687.23946      1687.22962      -1137.2578       1008.4731       1714.2724        450.6963        235.7124       1008.4731
     1687.26029      1687.25046       -136.2153       1021.5476       1902.6700        450.6963        -97.6917       1021.5476
     1687.28112      1687.27129       -366.6142       1017.1185       2153.8705        450.6963        780.0030       1017.1185
     1687.30196      1687.29212        757.3001        982.7758       1096.2450        450.6963        854.5850        982.7758
     1687.32279      1687.31296      -3553.9736       1009.3326       2097.8745        450.6963        461.0515       1009.3326
     1687.34362      1687.33379        628.1533        999.3695       2727.4737        450.6963       1198.1904        999.3695
     1687.36446      1687.35462      -2579.3106        975.6475       3957.7212        461.0515        409.6676        975.6475
     1687.38529      1687.37546      -2225.5701        974.5991       2649.8462        563.0512         64.6959        974.5991
     1687.40612      1687.39629        247.1672        942.0052        258.6068        608.8961       -347.7420        942.0052
     1687.42695      1687.41712      -1409.5742        936.7403       3919.2831        608.8961        829.3187        936.7403
     1687.44779      1687.43796      -2197.7697        962.8616       3901.7652        608.8961        151.0876        962.8616
     1687.46862      1687.45879      -2895.3743        934.4123        956.8988        640.7246        231.7479        934.4123
     1687.48945      1687.47962      -4032.9249        958.6743       1775.9833        734.3477       -723.6647        958.6743
     1687.51029      1687.50046        -14.6162        959.5369        -48.8970        734.3477       -182.2576        959.5369
     1687.53112      1687.52129      -1156.5146        951.0242       1225.7019        640.7246        450.6963        951.0242
     1687.55195      1687.54212       -771.5742        996.9305       2585.8758        461.0515        235.6610        996.9305
     1687.57279      1687.56296        -93.1561        975.7036       1218.9427        452.9453        -78.1171        975.7036
     1687.59362      1687.58379      -1620.7462       1005.4845       3044.4849        452.9453        734.3477       1005.4845
     1687.61445      1687.60462      -1429.8261        983.5422       1652.3108        451.8176        299.1630        983.5422
     1687.63529      1687.62546      -1209.6123       1015.9917       2033.1778        452.9453       1266.9758       1015.9917
     1687.65612      1687.64629       -399.7727       1015.1542       3206.7763        452.9453        877.5329       1015.1542
     1687.67695      1687.66712      -1768.9933        963.0271       2365.1885        452.9453       -390.4753        963.0271
     1687.69778      1687.68796       -192.5418        999.4921       2409.9791        452.9453        786.3181        999.4921
     1687.71862      1687.70879      -1676.2545        974.2159       4625.3762        451.8176       1476.9252        974.2159
     1687.73945      1687.72962      -3276.8464        985.0309       4469.2294        450.6963       1082.3517        985.0309
     1687.76028      1687.75046       1414.5015        997.6971       3590.2075        450.6963       1583.0242        997.6971
