#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1326.86580      1326.85478     -67761.7713       1573.8213    -153425.4813      -8382.4036      -5970.3818       2206.4036
     1326.88663      1326.87561     -64535.9673       1562.5376    -150281.2821      -8382.4036     -11785.5358       2183.8750
     1326.90747      1326.89644     -62484.7830       1467.1684    -131956.9296      -7865.1384     -10062.7229       2119.5398
     1326.92830      1326.91728     -57916.0509       1374.5544    -109855.1505      -7865.1384      -5208.0230       1984.2380
     1326.94913      1326.93811     -56282.7281       1362.0876    -107493.0058      -7673.0889      -7583.9233       1958.3835
     1326.96997      1326.95894     -61054.0911       1343.0822    -103744.0704      -7673.0889      -2991.3246       1939.9611
     1326.99080      1326.97978     -60961.7078       1330.4060     -95927.4527      -7673.0889      -4997.6091       1914.2444
     1327.01163      1327.00061     -60433.8250       1311.8540     -96989.5661      -7618.5325      -2457.2106       1895.3061
     1327.03247      1327.02144     -59063.2986       1307.8309     -95377.2137      -7583.9233      -6860.4323       1886.5958
     1327.05330      1327.04228     -62851.8364       1314.2002     -96786.6033      -7578.4456      -6832.4746       1889.6768
     1327.07413      1327.06311     -61386.7473       1317.5804     -96547.8166      -7500.9618      -8993.6986       1894.2636
     1327.09497      1327.08394     -59955.9263       1318.5614     -97289.6773      -7281.2670      -3255.0170       1893.5029
     1327.11580      1327.10478     -60209.7433       1301.8560     -93713.9678      -7136.2656      -8642.9479       1877.0986
     1327.13663      1327.12561     -56657.7118       1298.2314     -95108.4189      -6860.4323      -6234.0460       1880.1995
     1327.15747      1327.14644     -58249.8823       1316.7276     -99344.5791      -6832.4746      -8382.4036       1905.2784
     1327.17830      1327.16728     -59511.1639       1330.9670     -99259.3280      -6720.8273      -7865.1384       1904.5088
     1327.19913      1327.18811     -58750.5712       1316.4039     -95600.6137      -6234.0460      -8428.0782       1883.4288
     1327.21996      1327.20894     -58596.5991       1306.2110     -93682.1592      -6019.7259      -3521.0328       1873.6942
     1327.24080      1327.22978     -57235.8985       1302.3134     -94494.1260      -6019.7259      -5556.7547       1862.3067
     1327.26163      1327.25061     -57966.3438       1294.9337     -89879.4798      -6019.7259      -6019.7259       1849.2604
     1327.28246      1327.27144     -57539.5079       1273.4292     -82748.9020      -5970.3818      -7673.0889       1823.7634
     1327.30330      1327.29228     -57954.1248       1242.6292     -74229.7209      -5574.7761      -7281.2670       1782.8223
     1327.32413      1327.31311     -54192.8872       1227.0525     -66951.4524      -5556.7547      -4037.7123       1760.0529
     1327.34496      1327.33394     -56611.0395       1214.1527     -63461.1688      -5556.7547      -7136.2656       1738.4293
     1327.36580      1327.35478     -55819.9081       1219.2259     -65674.8955      -5267.6597      -4844.6821       1743.7300
     1327.38663      1327.37561     -50766.5697       1214.6475     -60702.7063      -5208.0230      -2436.1389       1740.4201
     1327.40746      1327.39644     -52770.6337       1212.6571     -61591.9875      -5055.9011       -352.5457       1729.2749
     1327.42830      1327.41728     -51023.8711       1209.4057     -59805.8845      -4997.6091       -317.5112       1728.6152
     1327.44913      1327.43811     -60039.1735       1239.1448     -60276.7562      -4844.6821       -213.9049       1774.6006
     1327.46996      1327.45894     -54173.0444       1253.7719     -61006.7960      -4742.7147      -8183.4015       1781.4356
     1327.49080      1327.47978     -52885.1068       1247.0908     -58071.1082      -4742.7147      -3170.0005       1778.9510
     1327.51163      1327.50061     -51551.0008       1246.5230     -61799.0107      -4397.4478      -2899.0063       1771.3055
     1327.53246      1327.52144     -54129.1842       1254.1074     -60495.0982      -4742.7147      -4397.4478       1792.5798
     1327.55330      1327.54228     -55032.7114       1267.8580     -63752.2234      -4742.7147      -7500.9618       1805.6043
     1327.57413      1327.56311     -57494.7396       1263.6480     -61584.9919      -4397.4478      -3773.8366       1803.9258
     1327.59496      1327.58394     -56097.1802       1256.1096     -60675.5515      -4397.4478      -6720.8273       1794.8219
     1327.61580      1327.60478     -54921.3250       1266.9916     -61346.4331      -4397.4478      -4742.7147       1798.7708
     1327.63663      1327.62561     -53384.1981       1246.0125     -60556.6171      -4391.6802      -5055.9011       1785.3614
     1327.65746      1327.64644     -50835.2532       1250.9538     -59202.4851      -4391.6802      -3806.9149       1781.2774
     1327.67830      1327.66728     -54901.9517       1240.8748     -56286.7885      -4373.0053      -4391.6802       1765.7813
     1327.69913      1327.68811     -51533.2236       1182.6532     -49044.9973      -4373.0053        641.8514       1694.4181
     1327.71996      1327.70894     -60160.1438       1222.3708     -52282.5535      -4109.1023      -5574.7761       1741.1719
     1327.74080      1327.72978     -56799.0670       1219.8924     -52120.2986      -4373.0053      -8538.7819       1738.9859
     1327.76163      1327.75061     -50476.0682       1217.4127     -50008.9740      -4373.0053      -3720.3395       1734.3854
     1327.78246      1327.77144     -48313.6665       1204.6767     -48562.8379      -4373.0053      -5267.6597       1723.4339
     1327.80330      1327.79228     -58604.7571       1155.9541     -44021.6282      -4109.1023      -3665.7081       1655.6971
     1327.82413      1327.81311     -57496.2949       1154.4499     -42629.1658      -4068.1766      -7418.0757       1647.0411
     1327.88663      1327.87561     -50061.8669       1135.4919     -40693.4386      -4109.1023      -2264.1993       1621.1776
     1327.90746      1327.89644     -56316.9474       1131.1768     -38934.3437      -4068.1766      -1168.5639       1612.9618
     1327.92830      1327.91728     -55386.5390       1121.9885     -37147.4050      -3957.7989      -1599.4737       1599.4559
     1327.94913      1327.93811     -54766.7213       1109.4699     -35631.7446      -3957.7989      -4109.1023       1581.4907
     1327.96996      1327.95894     -56086.6872       1098.6390     -32135.0218      -3957.7989      -4373.0053       1564.9336
     1327.99080      1327.97978     -54946.4068       1094.1872     -32590.1735      -3957.7989      -3314.9895       1556.7398
     1328.01163      1328.00061     -57348.8743       1084.1310     -31159.6301      -3957.7989      -3616.4025       1544.5203
     1328.03246      1328.02144     -57076.4033       1077.0285     -30916.0562      -3806.9149      -2894.4400       1530.5866
     1328.05330      1328.04228     -52525.3967       1070.7822     -28069.5190      -3957.7989      -6393.9180       1525.8324
     1328.07413      1328.06311     -51946.6167       1071.1059     -27887.4435      -4068.1766      -5832.4526       1528.1863
